"sign ID","grapheme ID","mdc"
"1","326","I1"
"2","319","I3"
"3","321","I5"
"4","321","I5"
"5","311","I10"
"6","313","I12"
"7","315","I13"
"8","316","I80A"
"22","137","D21"
"24","137","D21"
"26","137","D21"
"27","137","D21"
"28","137","D21"
"29","137","D21"
"30","381","M36"
"32","151","D36"
"34","161","D46"
"48","251","G1"
"53","265","G17"
"61","309","I9"
"62","309","I9"
"63","309","I9"
"64","309","I9"
"65","309","I9"
"66","309","I9"
"67","309","I9"
"69","311","I10"
"73","368","M17"
"75","368","M17"
"82","432","N35"
"83","432","N35"
"85","432","N35"
"92","473","O39"
"99","587","S29"
"103","663","U33"
"104","690","<1--0>-<0--2>"
"105","695","V28"
"109","698","V30"
"114","728","X1"
"115","728","X1"
"116","728","X1"
"129","745","Z5"
"144","8","A28"
"145","52","A311"
"146","40","A239"
"147","46","A25A"
"148","36","A9"
"149","36","A9"
"150","3","A2"
"151","3","A2"
"152","1","A1"
"153","1","A1"
"154","34","A5B"
"155","34","A5B"
"156","10","A7A"
"157","11","A8"
"158","23","Z6"
"159","23","Z6"
"160","19","A15"
"161","19","A15"
"162","17","A16"
"163","4","A17"
"164","48","A19"
"165","49","A19"
"166","50","A21"
"167","53","A35"
"168","43","A24"
"169","1546","A25-Z12"
"170","6","A26"
"171","6","A26"
"173","8","A28"
"174","7","A30"
"175","13","A32"
"176","25","A47"
"177","30","A51"
"178","30","A51"
"179","28","A52"
"180","28","A52"
"181","15","A53"
"182","15","A53"
"183","858","A73"
"184","3","A2"
"185","1","A1"
"186","4","A17"
"187","30","A51"
"189","3","A2"
"190","1","A1"
"191","1","A1"
"192","1","A1"
"193","3","A2"
"194","4","A17"
"195","50","A21"
"196","43","A24"
"197","43","A24"
"198","28","A52"
"199","3","A2"
"200","1","A1"
"202","1","A1"
"203","3","A2"
"204","34","A5B"
"206","10","A7A"
"207","11","A8"
"208","36","A9"
"209","23","Z6"
"210","23","Z6"
"211","19","A15"
"212","17","A16"
"213","4","A17"
"214","4","A17"
"215","48","A19"
"216","49","A19"
"217","50","A21"
"218","43","A24"
"219","6","A26"
"220","8","A28"
"221","7","A30"
"222","53","A35"
"223","25","A47"
"224","30","A51"
"226","28","A52"
"228","28","A52"
