datierung,startdatum,enddatum,epoche,epoche_startdatum,epoche_enddatum
Altes Reich,-2686,-2160,Altes Reich,-2686,-2160
"Altes Reich, 3. Dynastie, Djoser (Netjerichet)",-2667,-2648,Altes Reich,-2686,-2160
"Altes Reich, 3. Dynastie, Djoser (Netjerichet) – Altes Reich, 3. Dynastie, Nebka (Sanacht)",-2667,-2667,Altes Reich,-2686,-2160
"Altes Reich, 4. Dynastie",-2613,-2494,Altes Reich,-2686,-2160
"Altes Reich, 4. Dynastie, Cheops",-2589,-2566,Altes Reich,-2686,-2160
"Altes Reich, 5. Dynastie",-2494,-2345,Altes Reich,-2686,-2160
"Altes Reich, 5. Dynastie, Djedkare",-2414,-2375,Altes Reich,-2686,-2160
"Altes Reich, 5. Dynastie, Neferirkare I.",-2475,-2455,Altes Reich,-2686,-2160
"Altes Reich, 5. Dynastie, Niuserre",-2445,-2421,Altes Reich,-2686,-2160
"Altes Reich, 5. Dynastie, Niuserre – Altes Reich, 6. Dynastie, Pepi II.",-2445,-2184,Altes Reich,-2686,-2160
"Altes Reich, 6. Dynastie",-2345,-2181,Altes Reich,-2686,-2160
"Altes Reich, 6. Dynastie – Erste Zwischenzeit",-2345,-2055,Altes Reich,-2686,-2160
"Altes Reich, 6. Dynastie – Erste Zwischenzeit, 11. Dynastie (vor der Reichseinigung)",-2345,-2055,Altes Reich,-2686,-2160
"Altes Reich, 6. Dynastie, Pepi I.",-2321,-2287,Altes Reich,-2686,-2160
"Altes Reich, 6. Dynastie, Pepi II.",-2278,-2184,Altes Reich,-2686,-2160
"Altes Reich, 6. Dynastie, Teti",-2345,-2323,Altes Reich,-2686,-2160
Dritte Zwischenzeit,-1069,-664,Dritte Zwischenzeit,-1069,-664
"Dritte Zwischenzeit, 21. Dynastie",-1069,-945,Dritte Zwischenzeit,-1069,-664
"Dritte Zwischenzeit, 21. Dynastie – Dritte Zwischenzeit, 22.–23. Dynastie",-1069,-715,Dritte Zwischenzeit,-1069,-664
"Dritte Zwischenzeit, 21. Dynastie, Herihor (HPA), Regierungsjahr 6, Monat 2, Jahreszeit ꜣḫ.t, Tag 7",-1069,-945,Dritte Zwischenzeit,-1069,-664
"Dritte Zwischenzeit, 21. Dynastie, Herihor (HPA), Regierungsjahr 6, Monat 3, Jahreszeit pr.t, Tag 5",-1069,-945,Dritte Zwischenzeit,-1069,-664
"Dritte Zwischenzeit, 21. Dynastie, Mencheperre (HPA), Regierungsjahr 7, Monat 2, Jahreszeit pr.t, Tag 16",-1069,-945,Dritte Zwischenzeit,-1069,-664
