genre,score,ci_lo,ci_hi,texts,tokens
Magischer Text,-601.287706148234,-656.266603282961,-371.177352785659,5,570
Fürbitte,-209.562247174887,-474.061307931741,33.1173619181132,11,164
Historischer Vermerk,-190.12762773031,-279.873516146851,-27.1375453052643,7,338
Zahlungsliste,-168.251903245379,-227.641161284832,-125.208312556233,2,188
Prophezeiung,-166.989345351575,-351.149350111512,-129.148248483094,2,264
Lehre,-135.754340656302,-285.079122692801,6.52589453685799,15,804
Kolophon,-118.633064755758,-243.168198880992,78.8502241296794,8,302
Namenliste/Onomasticon,-69.830075819919,-194.90383754802,135.848961385601,12,282
Besuchertext,-44.686654008911,-118.87824443571,11.3410513511849,34,1226
Literarischer Text,-23.2877146636402,-165.147109161576,61.8125764803738,10,623
Erzählung,-15.2809213924749,-443.901814527516,152.248612952674,5,521
Brief,2.20544699096259,-88.4978241681738,65.8276242150486,12,262
Juristische Urkunde,12.0356492080195,-814.640740740741,68.2330966849103,4,228
Hymnus im Götterkult,13.3016325762781,-198.757283211712,406.506058739475,6,243
Haushaltsliste,32.8079564725851,-184.65169936418,395.413259400087,11,450
Administrativer Text,43.8442424172821,-10.3464146901961,96.8907357510616,119,3881
Gerichtsurkunde/Zeugenaussage,59.8843913492961,-413.002727463079,91.095596761927,4,451
Kemit,103.774757185623,58.5080566014459,157.78288635411,212,4629
Medizinischer Text,118.86272040697,9.29563492063502,120.177525432806,2,506
