sign,nDiach,meanC,sdC,cvC,slope,absSlope,diachR2,nGenres,nNKeff,eta_raw,eta_log,kw_p
A1,856,2658.28738317757,1500.8386003994,0.564588542945788,-1.24845877321071,1.24845877321071,0.129976259052579,13,551,0.74703561367233,0.729327723747108,3.10239680333876e-76
I12,41,4686.9756097561,1895.21907028983,0.404358637229702,-0.897521395929106,0.897521395929106,0.00985270581541175,3,20,0.734645683447766,0.804915331773953,0.00102020152054254
B1,179,2385.74860335196,900.728112736513,0.377545275085145,-0.127989343787732,0.127989343787732,0.00783417559845133,4,44,0.670954384058025,0.775569867192035,1.01770324142854e-06
P1,49,3167.44897959184,1180.97944981458,0.372848768022387,-2.25645501991497,2.25645501991497,0.460617844482467,3,15,0.604413995614954,0.624233566536946,0.0154522601239095
Aa2,57,2893.29824561404,790.716446488163,0.273292408650513,-0.245022315499668,0.245022315499668,0.010896133433913,3,18,0.513596367658599,0.572316269013987,0.00358680695829986
G17,822,2747.53527980535,1052.28270775898,0.382991518068344,-0.997019324072103,0.997019324072103,0.168447057610971,17,490,0.483115255328311,0.476466246021179,2.20584968454696e-41
N31,66,2911.81818181818,1153.47752349268,0.396136520712439,-2.15568505761635,2.15568505761635,0.369523628279872,3,21,0.472484928687337,0.50657856847993,0.00659367105126714
F34,75,3426.70666666667,811.251215354661,0.236743700079764,-0.528117110098851,0.528117110098851,0.0495874849885826,3,30,0.468710889742294,0.425800894478734,0.00334057308884486
G7,138,2239.79710144928,1318.38934115915,0.588619987188158,-0.987443763794256,0.987443763794256,0.213095306558026,4,41,0.37309919828012,0.437536973419772,0.000665983134825116
O1,260,2428.75384615385,648.936951462595,0.267189263535391,-0.304019125250794,0.304019125250794,0.0737920947913978,7,123,0.300752835673369,0.301555275903231,5.22429956553834e-07
G37,109,2428.48623853211,746.731738417968,0.307488560803757,0.167841970726424,0.167841970726424,0.0190069761267394,4,28,0.288140641553542,0.298816069561167,0.0335326952106825
G41,99,4291.17171717172,1109.24567162024,0.2584948225636,-0.832016853310052,0.832016853310052,0.0684177705178346,3,43,0.264691919983074,0.307933682490289,0.00451284226297705
Y1,420,2367.04761904762,945.814814642981,0.39957574449792,-1.31641723379081,1.31641723379081,0.186717428593661,14,270,0.261756392370646,0.30132393256746,6.53190290808493e-13
G39,88,2593.55681818182,622.568721368606,0.240044373427319,-0.380938706369673,0.380938706369673,0.049861512470588,3,25,0.258310195491558,0.255301596295622,0.0781682980902487
N41,92,2711.20652173913,700.9770816282,0.258548021335738,-0.292634523758353,0.292634523758353,0.079766226342952,4,25,0.25274531163381,0.252281713987109,0.0272161288395385
D58,261,1952.72030651341,528.845573585942,0.270825049456365,0.0712207118439359,0.0712207118439359,0.00554707097608886,5,119,0.239097647003851,0.221135899429881,6.50619479253247e-05
N23,95,1850.45263157895,763.216008692069,0.412448281932424,-1.76604615452092,1.76604615452092,0.578954164831311,3,21,0.237091261825952,0.256146051156695,0.0915733180824528
M3,145,2501.51724137931,699.052941718773,0.279451578488151,-0.224911271726734,0.224911271726734,0.0151613651855838,6,103,0.23658829468939,0.309863086637722,1.76008176071197e-05
D28,122,3197.54918032787,1133.31839312963,0.354433451751765,0.877227125524381,0.877227125524381,0.222334143906739,5,39,0.233169978739462,0.234392930866368,0.203296781059375
V30,302,3574.10927152318,1019.88790569333,0.285354427694564,-0.522381906786684,0.522381906786684,0.0293692986798741,11,186,0.219580962254072,0.260014223529727,4.08065621478775e-06
P6,56,3096.46428571429,1151.24587002376,0.371793685893648,0.774478359848308,0.774478359848308,0.0378432710609596,3,21,0.219396063464696,0.339221413706642,0.00931369682549646
Y5,82,3696.60975609756,999.371181998869,0.270348034533644,-1.60058845858438,1.60058845858438,0.261757560158657,4,31,0.212906040901502,0.201797045569111,0.0819009231527091
F35,195,2784.04615384615,689.257356902637,0.247573969257094,0.158252882871606,0.158252882871606,0.0117156153859884,5,86,0.21099571227851,0.239161586146181,0.000115096945444781
Q3,315,2972.58095238095,828.055224253252,0.278564398251292,0.923511539434193,0.923511539434193,0.163499291065783,9,166,0.207941175004405,0.208968482962391,3.84136603033014e-05
G1,553,2667.82459312839,1062.74061042488,0.398354754342629,-1.26606490543241,1.26606490543241,0.339774846712509,13,293,0.19345840345843,0.20984117971909,7.41958409837267e-08
A24,250,3579.24,990.222630437886,0.27665723182516,-0.961933191444401,0.961933191444401,0.222451175270396,6,143,0.182872225920354,0.213776955491082,0.000137983681912526
Z2,352,2034.95454545455,761.047518597443,0.373987478146569,0.170263459428225,0.170263459428225,0.0091084702002656,5,149,0.181809003843116,0.184975804777121,2.55858380777233e-05
V28,340,2240.5,633.500871335076,0.282749775199766,-0.362608077078612,0.362608077078612,0.0425763153728867,8,177,0.172791345574236,0.157589476661874,8.70201815663557e-05
V31,350,2622.50857142857,775.49059335673,0.295705646801487,-0.895249396792666,0.895249396792666,0.187230217979937,4,180,0.168409316392624,0.137947857509905,0.000354679235978837
M40,54,1999.53703703704,501.628845464828,0.250872495069235,-0.0320845994565218,0.0320845994565218,0.000229443407745406,3,26,0.154487616095125,0.163155714186151,0.0148097450389574
F18,79,2332.55696202532,712.279200998645,0.305364118688097,0.24864065257239,0.24864065257239,0.0550963732929655,3,18,0.146847653166825,0.179300529390985,0.207748187143601
R8,93,2493.03225806452,700.729921482699,0.28107535280218,-0.548021814039105,0.548021814039105,0.0882262376872811,4,36,0.146352223934164,0.126787090618655,0.149347271840452
Y3,144,3289.36805555556,796.239419545497,0.242064556503701,0.0114076659115102,0.0114076659115102,2.52108647185539e-05,7,85,0.136076189936802,0.119199894324574,0.0566193887577996
M18,58,3427.60344827586,785.709958084734,0.229230122428532,-0.433732138290832,0.433732138290832,0.0361712492081404,3,21,0.127335471753169,0.159513040682877,0.319854625173243
Z1,749,1089.8437917223,393.018363594504,0.360618986481917,0.0402394352134681,0.0402394352134681,0.00120233960189216,12,505,0.125766534313584,0.101159632661423,6.35148479875587e-07
M23,109,2770.42201834862,653.641201464109,0.235935607331668,0.0224775014630858,0.0224775014630858,0.000188794200155104,4,40,0.122834662401959,0.141217877627683,0.125498182559311
