sign,genre,n,mean,median,std,q25,q75,min,max,kw_p
N35,Erzählung,4,786.25,690.5,470.34056809933,405,1167.5,394,1370,6.20765995210003e-05
N35,Nicht spezifizierter Königlicher Text,5,801,704,273.0933906194,635.25,936.5,552,1256,6.20765995210003e-05
N35,Tempelbezogene Texte,6,892.166666666667,845,342.942220595054,597,963,591,1512,6.20765995210003e-05
N35,Götternamen und -Titel,2,860,860,475.17575695736,524,1196,524,1196,6.20765995210003e-05
N35,Fürbitte,7,1006.28571428571,961,504.328171691712,669.5,1138,465,2008,6.20765995210003e-05
N35,Gerichtsurkunde/Zeugenaussage,5,932.2,970,407.86541898033,576.75,1144.5,540,1554,6.20765995210003e-05
N35,Namensvermerk,2,1017.5,1017.5,680.943830282645,536,1499,536,1499,6.20765995210003e-05
N35,Anruf,18,1135.61111111111,1025.5,386.953430681703,934,1225,534,2080,6.20765995210003e-05
N35,Lehre,46,1155.41304347826,1113.5,373.012098468488,857,1353,618,2145,6.20765995210003e-05
N35,Brief,10,1192.3,1132.5,297.136724982513,1069,1295,784,1883,6.20765995210003e-05
N35,Literarischer Text,2,1161,1161,630.7392488184,715,1607,715,1607,6.20765995210003e-05
N35,Medizinischer Text,4,1063.25,1161,643.8459313635,657.5,1469,190,1741,6.20765995210003e-05
N35,Namenliste/Onomasticon,14,1303.5,1200.5,344.71119461414,1100,1479,894,2252,6.20765995210003e-05
N35,Prophezeiung,30,1223.26666666667,1214,308.552676253162,1042,1416,633,1841,6.20765995210003e-05
N35,Kolophon,22,1220.18181818182,1234,354.106338126415,866,1474,659,1913,6.20765995210003e-05
N35,Historischer Vermerk,15,1122.4,1248,409.752852339065,688.25,1438.25,501,1677,6.20765995210003e-05
N35,Juristische Urkunde,4,1258,1267,241.696779733064,1052,1464,1007,1491,6.20765995210003e-05
N35,Administrativer Text,246,1374.63821138211,1282,451.580710352537,1040,1626,512,3047,6.20765995210003e-05
N35,Kemit,300,1244.74,1284,337.621672456575,1011,1439.5,425,2474,6.20765995210003e-05
N35,Zahlungsliste,23,1442.91304347826,1308,605.089768925651,911.25,1860,773,3015,6.20765995210003e-05
N35,Besuchertext,76,1363,1341.5,399.670097288585,1044.5,1672.5,635,2271,6.20765995210003e-05
N35,Materialliste,3,1392.33333333333,1345,296.843954517072,1177.75,1618.75,1122,1710,6.20765995210003e-05
N35,Signatur,6,1322.33333333333,1408,394.161219130785,1265,1419,614,1820,6.20765995210003e-05
N35,Logbuch,6,1443.83333333333,1449,248.431412399211,1197,1503,1196,1869,6.20765995210003e-05
N35,Haushaltsliste,12,1565.91666666667,1452.5,590.001457368513,1060.5,1958.5,959,2772,6.20765995210003e-05
N35,Hymnus im Götterkult,13,1417.76923076923,1505,398.227981991504,1147.5,1568.75,690,2252,6.20765995210003e-05
N35,Opferformel ḥtp-ḏı͗-nsw.t,1,2064,2064,0,2064,2064,2064,2064,6.20765995210003e-05
X1,Götternamen und -Titel,1,478,478,0,478,478,478,478,0.00029070764619812
X1,Fürbitte,7,872.142857142857,775,243.534685121325,695.5,949.5,647,1355,0.00029070764619812
X1,Zahlungsliste,6,792.666666666667,775.5,257.875680642178,593,974,464,1174,0.00029070764619812
X1,Opferformel ḥtp-ḏı͗-nsw.t,3,843,786,211.345688387533,696,1004.25,666,1077,0.00029070764619812
X1,Historischer Vermerk,25,912.2,789,386.22478342713,635.25,1258,358,1681,0.00029070764619812
X1,Nicht spezifizierter Königlicher Text,4,842.75,797.5,310.272326620771,598,1087.5,542,1234,0.00029070764619812
X1,Literarischer Text,2,804,804,386.080302527855,531,1077,531,1077,0.00029070764619812
X1,Anruf,15,838.8,834,253.239638061885,666.25,1044.25,274,1209,0.00029070764619812
X1,Prophezeiung,14,860.5,859,245.041519244895,663,924,548,1467,0.00029070764619812
X1,Juristische Urkunde,3,783.333333333333,877,164.840326781202,664,879.25,593,880,0.00029070764619812
