sign_id,grapheme_id,mdc,Unicode,ht_local_path,schriftart,text,datierung,datierung_href,in_text_selection
1,326,I1,𓆈,svgs/ht/ht_1.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3049","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/185,FALSE
2,319,I3,𓆊,svgs/ht/ht_2.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3048 ro","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/767,FALSE
3,321,I5,𓆌,svgs/ht/ht_3.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
4,321,I5,𓆌,svgs/ht/ht_4.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3055","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/766,FALSE
5,311,I10,𓆓,svgs/ht/ht_5.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
6,313,I12,𓆗,svgs/ht/ht_6.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3055","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/766,FALSE
7,315,I13,𓆘,svgs/ht/ht_7.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3049","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/185,FALSE
8,316,I80A,I80A,svgs/ht/ht_8.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3050","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/769,FALSE
22,137,D21,𓂋,svgs/ht/ht_22.svg,Hieratisch,D. Assiut N13.1 TN18,"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 2",https://aku-pal.uni-mainz.de/datings/184,TRUE
24,137,D21,𓂋,svgs/ht/ht_24.svg,Hieratisch,D. Assiut N13.1 TN18,"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 2",https://aku-pal.uni-mainz.de/datings/184,TRUE
26,137,D21,𓂋,svgs/ht/ht_26.svg,Hieratisch,D. Assiut N13.1 TN18,"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 2",https://aku-pal.uni-mainz.de/datings/184,TRUE
