script,sessionId,sessionIndex,expert,metric,n,r,z
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,drawingTime,142,0.589416610960363,0.676771634054101
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,pathLength,142,0.615841902271688,0.718278610425519
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,skeletonPixelCount,142,0.610911709038151,0.710374644845167
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,totalWorkProxy,142,0.157542780629655,0.15886593102142
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,workPerLength,142,-0.296028624677705,-0.305161134166569
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,meanSpeed,142,-0.236413173188394,-0.240971512197564
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,peakSpeed,142,0.0681415544632772,0.0682473158453014
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,rmsVstar,142,-0.293308812703315,-0.302182703559386
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,meanAccel,142,-0.312752337886076,-0.323593254091355
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,peakAccel,142,-0.151586731856559,-0.152764087799298
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,rmsAstar,142,0.329777685260114,0.342578791456208
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,meanJerk,142,-0.311706437064094,-0.322434377494649
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,peakJerk,142,-0.139907558337881,-0.140831287573833
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,rmsJstar,142,0.511332316990719,0.56453209815702
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,totalTurningAbs,142,0.454478629406399,0.490330402211193
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,peakTurningAbs,142,0.0695578234981011,0.0696703306104814
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,p95TurningAbs,142,-0.104812647343666,-0.105199010358324
Hebrew,02c9d85e-1381-48e2-94b6-0fedb7369776,1,1,meanTurning,142,0.119421137547465,0.119993749872867
Hebrew,8de2dba6-07df-4147-aea3-ecbffdf1f31d,2,0,drawingTime,139,0.437292144782862,0.468877790537117
Hebrew,8de2dba6-07df-4147-aea3-ecbffdf1f31d,2,0,pathLength,139,0.452515589334722,0.487859116907244
Hebrew,8de2dba6-07df-4147-aea3-ecbffdf1f31d,2,0,skeletonPixelCount,139,0.597591812559838,0.689392846075648
Hebrew,8de2dba6-07df-4147-aea3-ecbffdf1f31d,2,0,totalWorkProxy,139,0.31825493703834,0.329704171781771
Hebrew,8de2dba6-07df-4147-aea3-ecbffdf1f31d,2,0,workPerLength,139,-0.160346223052659,-0.161742035572724
