text,n_instances,mean_complexity,genre,epoche,date
"O. Deir el-Bahri T3.L15",2,7594,Kemit,Neues Reich,-1309.5
"London, Petrie Museum of Egyptian Archaeology, UC 32058",1,7263,Juristische Urkunde,Mittleres Reich,-1787.5
"Turin, Museo Egizio, S. 17507/4",1,6976,Administrativer Text,Altes Reich,-2553.5
"London, British Museum, EA 10769",1,6939,Magischer Text,Zweite Zwischenzeit,-1711.5
"Leiden, Rijksmuseum van Oudheden, AMS 26 b vo",1,5879,Brief,Neues Reich,-1246
"Turin, Museo Egizio, Cat. 1975",1,5707,nicht spezifiziert,Neues Reich,-1089.5
"London, Petrie Museum of Egyptian Archaeology, 32261",1,5341,nicht spezifiziert,Neues Reich,-1338.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10497",1,5235,Brief,Neues Reich,-1127.5
"P. Abusir Kairo Fragm. k",1,5233,Administrativer Text,Altes Reich,-2394.5
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, 54",4,5223.75,nicht spezifiziert,Altes Reich,-2263
"O. Deir el-Bahri T3.L14",4,5147.75,Kemit,Neues Reich,-1309.5
"P. Strasbourg Bg",1,4874,nicht spezifiziert,Altes Reich,-2263
"London, Petrie Museum of Egyptian Archaeology, UC 38177",1,4731,Juristische Urkunde,Neues Reich,-1357.5
"P. Illahun, Berlin Brief R",1,4672,nicht spezifiziert,Mittleres Reich,-1852.5
"P. Berl. Br",2,4649,Brief,Mittleres Reich,-1852.5
"Kairo, Institut français d’archéologie orientale, 2605",3,4645.66666666667,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 53001",1,4585,Totenbuch,Dritte Zwischenzeit,-1007
"Hieratisches Graffito am Eingang von TT 320",1,4531,nicht spezifiziert,Dritte Zwischenzeit,-973.5
"London, British Museum, EA 10274 ro",6,4525.16666666667,Literarischer Text,Mittleres Reich,-1879
"Paris, Musée du Louvre, E 21324",1,4509,Totenbuch,Neues Reich,-1452
"Turin, Museo Egizio, CGT 53007",1,4506,Totenbuch,Dritte Zwischenzeit,-1007
"D. Abusir 2",2,4461.5,Besuchertext,Neues Reich,-1452
"London, British Museum, EA 10247",6,4456.33333333333,Literarischer Text,Neues Reich,-1197
"London, Petrie Museum of Egyptian Archaeology, UC 32178",1,4430,nicht spezifiziert,Mittleres Reich,-1879
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3043",2,4384.5,Literarischer Text,Neues Reich,-1203.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 2146",2,4352,Nichtköniglicher Historischer Text,Neues Reich,-1428
"P. Berl. M",1,4343,nicht spezifiziert,Mittleres Reich,-1852.5
"Köln, Seminar für Ägyptologie der Universität zu Köln, Aeg. 10207",2,4327,Totenbuch,Spätzeit,-594.5
"D. Medum 17",1,4309,Besuchertext,Neues Reich,-1360.5
