text,aku_text_id,aku_url,n_signs,genre,textinhalt_raw,datierung,epoche,date_start,date_end,date_mid,register,notes
"Brooklyn (NY), The Brooklyn Museum, 47.218.84",111740,https://aku-pal.uni-mainz.de/texts/111740,1914,Mythologischer Text,Mythologischer Text,"Spätzeit, 26. Dynastie, Psammetich I.",Spätzeit,-664,-610,-637,,
"New York City, Metropolitan Museum of Art, 22.3.516",5000016,https://aku-pal.uni-mainz.de/texts/5000016,1455,Brief,Brief (an einen Lebenden),"Mittleres Reich, 12. Dynastie, Sesostris I.",Mittleres Reich,-1956,-1911,-1934,,
"New York City, Metropolitan Museum of Art, 22.3.517",5000017,https://aku-pal.uni-mainz.de/texts/5000017,1312,Brief,Brief (an einen Lebenden),"Mittleres Reich, 12. Dynastie, Sesostris I.",Mittleres Reich,-1956,-1911,-1934,,
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3057",130723,https://aku-pal.uni-mainz.de/texts/130723,1197,Verklärungen,Verklärungen,"Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander der Große – Griechisch-römische Zeit, Ptolemäerzeit",Griechisch-römische Zeit,-332,-30,-181,,
"London, British Museum, EA 9999",381231,https://aku-pal.uni-mainz.de/texts/381231,1138,Tempelbezogene Texte,Tempelbezogene Texte,"Neues Reich, 20. Dynastie",Neues Reich,-1186,-1069,-1128,,
"Brooklyn (NY), The Brooklyn Museum, 47.218.3",56305,https://aku-pal.uni-mainz.de/texts/56305,943,Petition,Petition,"Spätzeit, 26. Dynastie, Psammetich I., Regierungsjahr 14, Monat 1, Jahreszeit šm.w, Tag 5",Spätzeit,-651,-650,-650,,
"Paris, Bibliothèque Nationale de France, Egyptien 183",5000080,https://aku-pal.uni-mainz.de/texts/5000080,841,Lehre,Lehre (Kagemni),"Mittleres Reich, 12. Dynastie",Mittleres Reich,-1985,-1773,-1879,,
"London, British Museum, EA 10735",380868,https://aku-pal.uni-mainz.de/texts/380868,695,Rechnung,Rechnung,"Altes Reich, 5. Dynastie, Niuserre – Altes Reich, 6. Dynastie, Pepi II.",Altes Reich,-2445,-2184,-2314,,
"Leipzig, Bibliotheca Albertina, Papyrus- und Ostrakasammlung, P. Ebers",5000268,https://aku-pal.uni-mainz.de/texts/5000268,599,Medizinischer Text,Medizinischer Text,"Neues Reich, 18. Dynastie, Amenhotep I., Regierungsjahr 9",Neues Reich,-1517,-1516,-1516,,
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3022 New York City, Pierpont Morgan Library, Amh. Egy. Pap. 4",5000036,https://aku-pal.uni-mainz.de/texts/5000036,560,Erzählung,Erzählung (Die Geschichte des Sinuhe),"Mittleres Reich, 12. Dynastie, Amenemhet III.",Mittleres Reich,-1831,-1786,-1808,,
"Brüssel, Musées Royaux d’Art et d’Histoire, E 3208 Kairo, Institut français d’archéologie orientale, 2509 + 2510",5001044,https://aku-pal.uni-mainz.de/texts/5001044,559,Kemit,Kemit,"Neues Reich, 20. Dynastie, Ramses III.",Neues Reich,-1184,-1153,-1168,,
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.1191",5001250,https://aku-pal.uni-mainz.de/texts/5001250,524,Kemit,Kemit,"Neues Reich, 19. Dynastie, Merenptah – Neues Reich, 19. Dynastie, Tausret",Neues Reich,-1213,-1186,-1200,,
"London, British Museum, EA 10221",381251,https://aku-pal.uni-mainz.de/texts/381251,434,Gerichtsurkunde/Zeugenaussage,Gerichtsurkunde/Zeugenaussage,"Neues Reich, 20. Dynastie, Ramses IX., Regierungsjahr 16",Neues Reich,-1111,-1110,-1110,,
"London, British Museum, EA 10490",134518,https://aku-pal.uni-mainz.de/texts/134518,416,Totenbuch,Totenbuch,"Dritte Zwischenzeit, 21. Dynastie, Psusennes I.",Dritte Zwischenzeit,-1039,-991,-1015,,
"London, British Museum, EA 5646 ro",5000234,https://aku-pal.uni-mainz.de/texts/5000234,399,Hymnus im Götterkult,Hymnus im Götterkult (Hymnus an Thot),"Neues Reich, 18. Dynastie",Neues Reich,-1550,-1295,-1422,,
"Moskau, State Pushkin Museum of Fine Arts, I, 1б 314",5000007,https://aku-pal.uni-mainz.de/texts/5000007,398,Hymne im Königskult,Hymne im Königskult (Investiturritual),"Zweite Zwischenzeit, 17. Dynastie",Zweite Zwischenzeit,-1580,-1550,-1565,,
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3033",5000278,https://aku-pal.uni-mainz.de/texts/5000278,372,Erzählung,Erzählung (Westcar),"Zweite Zwischenzeit, 17. Dynastie",Zweite Zwischenzeit,-1580,-1550,-1565,,
"New York City, Metropolitan Museum of Art, 22.3.518",5000018,https://aku-pal.uni-mainz.de/texts/5000018,371,Brief,Brief (an einen Lebenden),"Mittleres Reich, 12. Dynastie, Sesostris I.",Mittleres Reich,-1956,-1911,-1934,,
"London, British Museum, EA 10057 + EA 10058",380851,https://aku-pal.uni-mainz.de/texts/380851,367,Mathematischer Text,Mathematischer Text,"Zweite Zwischenzeit, 15. Dynastie, Apopi, Regierungsjahr 33, Monat 4, Jahreszeit ꜣḫ.t",Zweite Zwischenzeit,-1650,-1550,-1600,,
"Turin, Museo Egizio, CGT 54051",5000059,https://aku-pal.uni-mainz.de/texts/5000059,314,Magischer Text,Magischer Text,"Neues Reich, 20. Dynastie",Neues Reich,-1186,-1069,-1128,,
"London, British Museum, EA 10249",380655,https://aku-pal.uni-mainz.de/texts/380655,309,Literarischer Text,Literarischer Text,"Neues Reich, 19. Dynastie, Sethos II., Regierungsjahr 1",Neues Reich,-1200,-1199,-1200,,
"Kairo, Ägyptisches Museum, CG 58069",5000225,https://aku-pal.uni-mainz.de/texts/5000225,297,Rechnung,Rechnung,"Zweite Zwischenzeit, 13. Dynastie, Chendjer Userkare – Zweite Zwischenzeit, 13. Dynastie, Sobekhotep III.",Zweite Zwischenzeit,-1773,-1650,-1712,,
